,track.name,name,song_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
239,Despacito (Featuring Daddy Yankee),Daddy Yankee,7CUYHcu0RnbOnMz4RuN07w,0.659,0.802,2.0,-4.79,1.0,0.148,0.208,0.0,0.123,0.863,177.936,audio_features,7CUYHcu0RnbOnMz4RuN07w,spotify:track:7CUYHcu0RnbOnMz4RuN07w,https://api.spotify.com/v1/tracks/7CUYHcu0RnbOnMz4RuN07w,https://api.spotify.com/v1/audio-analysis/7CUYHcu0RnbOnMz4RuN07w,228200.0,4.0
240,Boyfriend,Justin Bieber,0171XsIM2xyeXRr6wsugEI,0.717,0.55,10.0,-6.019,0.0,0.0521,0.0358,0.00196,0.126,0.332,96.976,audio_features,0171XsIM2xyeXRr6wsugEI,spotify:track:0171XsIM2xyeXRr6wsugEI,https://api.spotify.com/v1/tracks/0171XsIM2xyeXRr6wsugEI,https://api.spotify.com/v1/audio-analysis/0171XsIM2xyeXRr6wsugEI,171333.0,4.0
241,Company,Justin Bieber,61uyGDPJ06MkxJtHgPmuyO,0.59,0.797,4.0,-4.901,0.0,0.0614,0.132,0.0,0.0846,0.425,94.948,audio_features,61uyGDPJ06MkxJtHgPmuyO,spotify:track:61uyGDPJ06MkxJtHgPmuyO,https://api.spotify.com/v1/tracks/61uyGDPJ06MkxJtHgPmuyO,https://api.spotify.com/v1/audio-analysis/61uyGDPJ06MkxJtHgPmuyO,208120.0,4.0
242,Where Are Ü Now,Justin Bieber,0n8ob8S72lvznoVfiwz4qL,0.432,0.74,7.0,-5.053,1.0,0.062,0.0342,6.59e-06,0.14,0.193,139.42,audio_features,0n8ob8S72lvznoVfiwz4qL,spotify:track:0n8ob8S72lvznoVfiwz4qL,https://api.spotify.com/v1/tracks/0n8ob8S72lvznoVfiwz4qL,https://api.spotify.com/v1/audio-analysis/0n8ob8S72lvznoVfiwz4qL,242520.0,4.0
243,Purpose,Justin Bieber,3jHCXrZNz8fQEEf4BpWCAj,0.481,0.285,0.0,-10.848,1.0,0.0424,0.9,0.0,0.123,0.316,130.029,audio_features,3jHCXrZNz8fQEEf4BpWCAj,spotify:track:3jHCXrZNz8fQEEf4BpWCAj,https://api.spotify.com/v1/tracks/3jHCXrZNz8fQEEf4BpWCAj,https://api.spotify.com/v1/audio-analysis/3jHCXrZNz8fQEEf4BpWCAj,210160.0,4.0
244,The Feeling,Justin Bieber,7vldwy3gdhmPRKWSCi8H61,0.525,0.809,1.0,-6.185,0.0,0.0619,0.0819,1.22e-06,0.0971,0.21,127.073,audio_features,7vldwy3gdhmPRKWSCi8H61,spotify:track:7vldwy3gdhmPRKWSCi8H61,https://api.spotify.com/v1/tracks/7vldwy3gdhmPRKWSCi8H61,https://api.spotify.com/v1/audio-analysis/7vldwy3gdhmPRKWSCi8H61,244907.0,4.0
245,Cold Water (feat. Justin Bieber & MØ),Major Lazer,6DNtNfH8hXkqOX1sjqmI7p,0.608,0.798,6.0,-5.092,0.0,0.0432,0.0736,0.0,0.156,0.501,92.943,audio_features,6DNtNfH8hXkqOX1sjqmI7p,spotify:track:6DNtNfH8hXkqOX1sjqmI7p,https://api.spotify.com/v1/tracks/6DNtNfH8hXkqOX1sjqmI7p,https://api.spotify.com/v1/audio-analysis/6DNtNfH8hXkqOX1sjqmI7p,185352.0,4.0
246,No Pressure,Justin Bieber,10SDxx0CFWGqgVVBeX22TP,0.644,0.595,1.0,-6.877,1.0,0.215,0.121,0.0,0.279,0.554,148.889,audio_features,10SDxx0CFWGqgVVBeX22TP,spotify:track:10SDxx0CFWGqgVVBeX22TP,https://api.spotify.com/v1/tracks/10SDxx0CFWGqgVVBeX22TP,https://api.spotify.com/v1/audio-analysis/10SDxx0CFWGqgVVBeX22TP,286853.0,3.0
247,Never Say Never,Justin Bieber,5GYbkDveRD2I8M5ZJ14hWn,0.739,0.807,0.0,-5.063,1.0,0.0652,0.0181,0.0,0.295,0.632,97.048,audio_features,5GYbkDveRD2I8M5ZJ14hWn,spotify:track:5GYbkDveRD2I8M5ZJ14hWn,https://api.spotify.com/v1/tracks/5GYbkDveRD2I8M5ZJ14hWn,https://api.spotify.com/v1/audio-analysis/5GYbkDveRD2I8M5ZJ14hWn,227853.0,4.0
248,Life Is Worth Living,Justin Bieber,4yWCzA44dQyp0SoeM81bUb,0.558,0.296,10.0,-9.18,1.0,0.0427,0.907,0.0,0.108,0.463,76.04,audio_features,4yWCzA44dQyp0SoeM81bUb,spotify:track:4yWCzA44dQyp0SoeM81bUb,https://api.spotify.com/v1/tracks/4yWCzA44dQyp0SoeM81bUb,https://api.spotify.com/v1/audio-analysis/4yWCzA44dQyp0SoeM81bUb,234787.0,4.0
